label,population sample,actual sample size
ASW,African ancestry in Southwest USA,49
CEU,Utah residents with Northern and Western European ancestry from the CEPH collection,112
CHB,"Han Chinese in Beijing, China",84
CHD,"Chinese in Metropolitan Denver, Colorado",85
GIH,"Gujarati Indians in Houston, Texas",88
JPT,"Japanese in Tokyo, Japan",86
LWK,"Luhya in Webuye, Kenya",90
MEX,"Mexican ancestry in Los Angeles, California",50
MKK,"Maasai in Kinyawa, Kenya",143
TSI,Toscans in Italy,88
YRI,"Yoruba in Ibadan, Nigeria",113
